"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"ZFAND3",0.468675375049001,0.277179217586915,0.752031370698099,0.467628887808468,0.996260879005333,-5.90572623901274,0.00162692314545418,0.330098668108369,"Not significant","Q9H8U3",0.469878106883594,12,"small_vessel_occlusion"
"COMMD7",0.183114433232623,-0.0251653842860833,0.750975418224863,0.4682390979375,0.996260879005333,-5.87160650478711,0.00162692314545418,0.329532325561276,"Not significant","Q86VX2",0.285930266936443,12,"small_vessel_occlusion"
"MINDY1",-0.350220115698229,0.56061325284342,-0.750957142008681,0.468249663754767,0.996260879005333,-5.88986374533979,0.00162692314545418,0.329522525814982,"Not significant","Q8N5J2",-0.456151985057763,12,"small_vessel_occlusion"
"FBXO22",-0.26922812674634,-0.152226280576239,-0.750750071008798,0.468369385820999,0.996260879005333,-5.90638719879804,0.00162692314545418,0.329411499602066,"Not significant","Q8NEZ5",-0.256977233556764,12,"small_vessel_occlusion"
"TP53BP2",-0.603243660588095,0.718965044866006,-0.750368228722731,0.46859020588213,0.996260879005333,-5.87258702075872,0.00162692314545418,0.329206792938795,"Not significant","Q13625",-0.413342448217528,12,"small_vessel_occlusion"
"PPP1R12B",0.42159037002944,0.293741306910912,0.750293622851659,0.468633358253745,0.996260879005333,-5.90613482044192,0.00162692314545418,0.329166800694461,"Not significant","O60237",0.411667708413942,12,"small_vessel_occlusion"
"ATP2C1",0.315330911182883,0.658214904057483,0.747490185596053,0.470256694464263,0.996260879005333,-5.71337979143699,0.00162692314545418,0.327665013218957,"Not significant","P98194",0.811308669937508,12,"small_vessel_occlusion"
"H1-1",-0.337155058870397,0.0233555405090253,-0.747356529987597,0.47033417631613,0.996260879005333,-5.8918812468992,0.00162692314545418,0.327593462575983,"Not significant","Q02539",-0.439994415427957,12,"small_vessel_occlusion"
"COL4A6",-0.297729339235225,-0.172126040949176,-0.747162714054917,0.470446548139861,0.996260879005333,-5.90935020485969,0.00162692314545418,0.327489713717336,"Not significant","Q14031",-0.293336761796049,12,"small_vessel_occlusion"
"CBY2",-0.147742545096133,0.0535701696450512,-0.747107290327577,0.470478685163364,0.996260879005333,-5.87073226995748,0.00162692314545418,0.327460047317746,"Not significant","Q8NA61",-0.133063341145005,12,"small_vessel_occlusion"
"SECISBP2L",0.342112740413306,-0.0174025216450294,0.746970718798828,0.470557881011731,0.996260879005333,-5.85311225997928,0.00162692314545418,0.327386948521689,"Not significant","Q93073",1.28926475239652,12,"small_vessel_occlusion"
"LRTM2",-0.112099111723946,-0.0485775986065467,-0.746645598236266,0.470746447448976,0.996260879005333,-5.77169360263122,0.00162692314545418,0.327212948760321,"Not significant","Q8N967",0.0739643337471145,12,"small_vessel_occlusion"
"MARVELD3",0.31418775549396,0.168710150445501,0.7463871647001,0.470896370020665,0.996260879005333,-5.89636831875295,0.00162692314545418,0.327074657372251,"Not significant","Q96A59",0.376893311100347,12,"small_vessel_occlusion"
